# tími; hitastig; fan_on; duty_cycle; heater_on
0.43; 33.90; 1.00; 10.00; 1.00
1.43; 33.90; 1.00; 10.00; 1.00
2.86; 33.30; 1.00; 10.00; 1.00
3.86; 33.30; 1.00; 10.00; 1.00
5.29; 32.90; 1.00; 10.00; 1.00
6.29; 32.90; 1.00; 10.00; 1.00
7.72; 32.20; 1.00; 10.00; 1.00
8.73; 32.20; 1.00; 10.00; 1.00
10.16; 31.70; 1.00; 10.00; 1.00
11.16; 31.70; 1.00; 10.00; 1.00
12.59; 31.00; 1.00; 10.00; 1.00
13.59; 31.00; 1.00; 10.00; 1.00
15.02; 30.50; 1.00; 10.00; 1.00
16.02; 30.50; 1.00; 10.00; 1.00
17.46; 29.90; 1.00; 10.00; 1.00
18.46; 29.90; 1.00; 10.00; 1.00
19.90; 29.40; 1.00; 10.00; 1.00
20.90; 29.40; 1.00; 10.00; 1.00
22.33; 28.90; 1.00; 10.00; 1.00
23.33; 28.90; 1.00; 10.00; 1.00
24.77; 28.50; 1.00; 10.00; 1.00
25.77; 28.50; 1.00; 10.00; 1.00
27.20; 28.00; 1.00; 10.00; 1.00
28.20; 28.00; 1.00; 10.00; 1.00
29.64; 27.70; 1.00; 10.00; 1.00
30.64; 27.70; 1.00; 10.00; 1.00
36.81; 27.00; 1.00; 10.00; 1.00
37.82; 27.00; 1.00; 10.00; 1.00
39.25; 26.80; 1.00; 10.00; 1.00
40.25; 26.80; 1.00; 10.00; 1.00
41.68; 26.50; 1.00; 10.00; 1.00
42.69; 26.50; 1.00; 10.00; 1.00
56.28; 25.50; 1.00; 10.00; 1.00
57.28; 25.50; 1.00; 10.00; 1.00
102.27; 24.80; 1.00; 10.00; 1.00
103.27; 24.80; 1.00; 10.00; 1.00
104.70; 24.80; 1.00; 10.00; 1.00
105.70; 24.80; 1.00; 10.00; 1.00
107.13; 24.80; 1.00; 10.00; 1.00
108.14; 24.80; 1.00; 10.00; 1.00
109.57; 24.70; 1.00; 10.00; 1.00
110.57; 24.70; 1.00; 10.00; 1.00
114.38; 24.70; 1.00; 10.00; 1.00
115.38; 24.70; 1.00; 10.00; 1.00
116.82; 24.90; 1.00; 10.00; 1.00
117.82; 24.90; 1.00; 10.00; 1.00
119.25; 25.00; 1.00; 10.00; 1.00
120.25; 25.00; 1.00; 10.00; 1.00
121.68; 25.00; 1.00; 10.00; 1.00
122.69; 25.00; 1.00; 10.00; 1.00
124.12; 24.90; 1.00; 10.00; 1.00
