tími; hitastig; fan_on; duty_cycle; heater_on
0.43; 33.90; 1.00; 10.00; 1.00
1.43; 33.90; 1.00; 10.00; 1.00
2.86; 33.30; 1.00; 10.00; 1.00
3.86; 33.30; 1.00; 10.00; 1.00
5.29; 32.90; 1.00; 10.00; 1.00
6.29; 32.90; 1.00; 10.00; 1.00
7.72; 32.20; 1.00; 10.00; 1.00
8.73; 32.20; 1.00; 10.00; 1.00
10.16; 31.70; 1.00; 10.00; 1.00
11.16; 31.70; 1.00; 10.00; 1.00
12.59; 31.00; 1.00; 10.00; 1.00
13.59; 31.00; 1.00; 10.00; 1.00
15.02; 30.50; 1.00; 10.00; 1.00
16.02; 30.50; 1.00; 10.00; 1.00
17.46; 29.90; 1.00; 10.00; 1.00
18.46; 29.90; 1.00; 10.00; 1.00
19.90; 29.40; 1.00; 10.00; 1.00
20.90; 29.40; 1.00; 10.00; 1.00
22.33; 28.90; 1.00; 10.00; 1.00
23.33; 28.90; 1.00; 10.00; 1.00
24.77; 28.50; 1.00; 10.00; 1.00
25.77; 28.50; 1.00; 10.00; 1.00
27.20; 28.00; 1.00; 10.00; 1.00
28.20; 28.00; 1.00; 10.00; 1.00
29.64; 27.70; 1.00; 10.00; 1.00
30.64; 27.70; 1.00; 10.00; 1.00
36.81; 27.00; 1.00; 10.00; 1.00
37.82; 27.00; 1.00; 10.00; 1.00
39.25; 26.80; 1.00; 10.00; 1.00
40.25; 26.80; 1.00; 10.00; 1.00
41.68; 26.50; 1.00; 10.00; 1.00
42.69; 26.50; 1.00; 10.00; 1.00
56.28; 25.50; 1.00; 10.00; 1.00
57.28; 25.50; 1.00; 10.00; 1.00
102.27; 24.80; 1.00; 10.00; 1.00
103.27; 24.80; 1.00; 10.00; 1.00
104.70; 24.80; 1.00; 10.00; 1.00
105.70; 24.80; 1.00; 10.00; 1.00
107.13; 24.80; 1.00; 10.00; 1.00
108.14; 24.80; 1.00; 10.00; 1.00
109.57; 24.70; 1.00; 10.00; 1.00
110.57; 24.70; 1.00; 10.00; 1.00
114.38; 24.70; 1.00; 10.00; 1.00
115.38; 24.70; 1.00; 10.00; 1.00
116.82; 24.90; 1.00; 10.00; 1.00
117.82; 24.90; 1.00; 10.00; 1.00
119.25; 25.00; 1.00; 10.00; 1.00
120.25; 25.00; 1.00; 10.00; 1.00
121.68; 25.00; 1.00; 10.00; 1.00
122.69; 25.00; 1.00; 10.00; 1.00
124.12; 24.90; 1.00; 10.00; 1.00
1063.43; 22.40; 1.00; 90.00; 1.00
1064.43; 22.40; 1.00; 90.00; 1.00
1065.87; 22.40; 1.00; 90.00; 1.00
1066.87; 22.40; 1.00; 90.00; 1.00
1068.29; 22.30; 1.00; 90.00; 1.00
1069.29; 22.30; 1.00; 90.00; 1.00
1070.74; 22.40; 1.00; 90.00; 1.00
1071.74; 22.40; 1.00; 90.00; 1.00
1073.17; 22.50; 1.00; 90.00; 1.00
1074.17; 22.50; 1.00; 90.00; 1.00
1075.61; 22.60; 1.00; 90.00; 1.00
1076.62; 22.60; 1.00; 90.00; 1.00
1078.05; 22.60; 1.00; 90.00; 1.00
1079.05; 22.60; 1.00; 90.00; 1.00
1080.40; 22.60; 1.00; 90.00; 1.00
1081.40; 22.60; 1.00; 90.00; 1.00
1082.84; 22.70; 1.00; 90.00; 1.00
1083.84; 22.70; 1.00; 90.00; 1.00
1085.27; 22.60; 1.00; 90.00; 1.00
1086.27; 22.60; 1.00; 90.00; 1.00
1087.71; 22.50; 1.00; 90.00; 1.00
1088.71; 22.50; 1.00; 90.00; 1.00
1090.14; 22.50; 1.00; 90.00; 1.00
1091.14; 22.50; 1.00; 90.00; 1.00
1092.57; 22.50; 1.00; 90.00; 1.00
1093.58; 22.50; 1.00; 90.00; 1.00
1095.01; 22.40; 1.00; 90.00; 1.00
1096.01; 22.40; 1.00; 90.00; 1.00
1097.44; 22.30; 1.00; 90.00; 1.00
1098.44; 22.30; 1.00; 90.00; 1.00
1099.87; 22.20; 1.00; 90.00; 1.00
1100.87; 22.20; 1.00; 90.00; 1.00
1102.31; 22.20; 1.00; 90.00; 1.00
1103.31; 22.20; 1.00; 90.00; 1.00
1138.68; 22.00; 1.00; 90.00; 1.00
1139.68; 22.00; 1.00; 90.00; 1.00
1141.00; 22.10; 1.00; 90.00; 1.00
1142.00; 22.10; 1.00; 90.00; 1.00
1143.45; 22.00; 1.00; 90.00; 1.00
1144.45; 22.00; 1.00; 90.00; 1.00
1145.88; 22.00; 1.00; 90.00; 1.00
1146.88; 22.00; 1.00; 90.00; 1.00
1148.31; 21.90; 1.00; 90.00; 1.00
1149.31; 21.90; 1.00; 90.00; 1.00
1150.75; 21.80; 1.00; 90.00; 1.00
1151.75; 21.80; 1.00; 90.00; 1.00
1153.18; 21.80; 1.00; 90.00; 1.00
1154.18; 21.80; 1.00; 90.00; 1.00
1155.62; 21.70; 1.00; 90.00; 1.00
1156.62; 21.70; 1.00; 90.00; 1.00
1158.05; 21.60; 1.00; 90.00; 1.00
1159.05; 21.60; 1.00; 90.00; 1.00
1160.49; 21.70; 1.00; 90.00; 1.00
1161.49; 21.70; 1.00; 90.00; 1.00
1162.92; 21.60; 1.00; 90.00; 1.00
1163.92; 21.60; 1.00; 90.00; 1.00
1165.36; 21.50; 1.00; 90.00; 1.00
1166.36; 21.50; 1.00; 90.00; 1.00
1167.79; 21.50; 1.00; 90.00; 1.00
1168.79; 21.50; 1.00; 90.00; 1.00
1170.14; 21.60; 1.00; 90.00; 1.00
1171.14; 21.60; 1.00; 90.00; 1.00
1182.30; 21.60; 1.00; 90.00; 1.00
1183.30; 21.60; 1.00; 90.00; 1.00
1192.01; 21.60; 1.00; 90.00; 1.00
1193.01; 21.60; 1.00; 90.00; 1.00
1194.44; 21.60; 1.00; 10.00; 1.00
1195.44; 21.60; 1.00; 10.00; 1.00
1196.88; 21.50; 1.00; 10.00; 1.00
1197.88; 21.50; 1.00; 10.00; 1.00
1218.73; 22.30; 1.00; 10.00; 1.00
1219.74; 22.30; 1.00; 10.00; 1.00
1223.60; 22.50; 1.00; 10.00; 1.00
1224.60; 22.50; 1.00; 10.00; 1.00
1233.33; 22.80; 1.00; 10.00; 1.00
1234.33; 22.80; 1.00; 10.00; 1.00
1235.76; 22.80; 1.00; 10.00; 1.00
1236.76; 22.80; 1.00; 10.00; 1.00
1238.20; 22.80; 1.00; 10.00; 1.00
1239.20; 22.80; 1.00; 10.00; 1.00
1240.63; 22.90; 1.00; 10.00; 1.00
1241.63; 22.90; 1.00; 10.00; 1.00
1250.35; 22.80; 1.00; 10.00; 1.00
1251.36; 22.80; 1.00; 10.00; 1.00
1252.79; 22.90; 1.00; 10.00; 1.00
1253.79; 22.90; 1.00; 10.00; 1.00
1255.22; 23.00; 1.00; 10.00; 1.00
