tími; hitastig; fan_on; duty_cycle; heater_on
10.13; 21.60; 0.00; 0.00; 1.00
11.13; 21.60; 0.00; 0.00; 1.00
12.56; 21.80; 0.00; 0.00; 1.00
13.56; 21.80; 0.00; 0.00; 1.00
14.99; 22.10; 0.00; 0.00; 1.00
15.99; 22.10; 0.00; 0.00; 1.00
17.43; 22.30; 0.00; 0.00; 1.00
18.43; 22.30; 0.00; 0.00; 1.00
19.87; 22.60; 0.00; 0.00; 1.00
20.87; 22.60; 0.00; 0.00; 1.00
22.27; 22.90; 0.00; 0.00; 1.00
23.27; 22.90; 0.00; 0.00; 1.00
24.71; 23.30; 0.00; 0.00; 1.00
25.71; 23.30; 0.00; 0.00; 1.00
27.14; 23.60; 0.00; 0.00; 1.00
28.14; 23.60; 0.00; 0.00; 1.00
29.58; 24.00; 0.00; 0.00; 1.00
30.58; 24.00; 0.00; 0.00; 1.00
32.01; 24.40; 0.00; 0.00; 1.00
33.01; 24.40; 0.00; 0.00; 1.00
34.45; 24.80; 0.00; 0.00; 1.00
35.45; 24.80; 0.00; 0.00; 1.00
36.89; 25.30; 0.00; 0.00; 1.00
37.89; 25.30; 0.00; 0.00; 1.00
39.32; 25.70; 0.00; 0.00; 1.00
40.33; 25.70; 0.00; 0.00; 1.00
41.77; 26.20; 0.00; 0.00; 1.00
42.77; 26.20; 0.00; 0.00; 1.00
44.20; 26.70; 0.00; 0.00; 1.00
45.20; 26.70; 0.00; 0.00; 1.00
46.64; 27.20; 0.00; 0.00; 1.00
47.64; 27.20; 0.00; 0.00; 1.00
48.98; 27.70; 0.00; 0.00; 1.00
49.98; 27.70; 0.00; 0.00; 1.00
51.42; 28.20; 0.00; 0.00; 1.00
52.42; 28.20; 0.00; 0.00; 1.00
53.75; 28.70; 0.00; 0.00; 1.00
54.75; 28.70; 0.00; 0.00; 1.00
56.18; 29.20; 0.00; 0.00; 1.00
57.18; 29.20; 0.00; 0.00; 1.00
58.62; 29.70; 0.00; 0.00; 1.00
59.62; 29.70; 0.00; 0.00; 1.00
61.06; 30.40; 0.00; 0.00; 1.00
62.06; 30.40; 0.00; 0.00; 1.00
