# tími; hitastig; fan_on; duty_cycle; heater_on
12.58; 16.50; 1.00; 90.00; 1.00
13.58; 16.50; 1.00; 90.00; 1.00
58.68; 17.90; 1.00; 90.00; 1.00
59.68; 17.90; 1.00; 90.00; 1.00
107.24; 18.80; 1.00; 90.00; 1.00
108.24; 18.80; 1.00; 90.00; 1.00
131.57; 19.50; 1.00; 90.00; 1.00
132.57; 19.50; 1.00; 90.00; 1.00
148.59; 19.80; 1.00; 90.00; 1.00
149.59; 19.80; 1.00; 90.00; 1.00
150.85; 19.90; 1.00; 90.00; 1.00
151.85; 19.90; 1.00; 90.00; 1.00
153.30; 19.90; 1.00; 90.00; 1.00
154.30; 19.90; 1.00; 90.00; 1.00
160.58; 20.10; 1.00; 90.00; 1.00
161.58; 20.10; 1.00; 90.00; 1.00
163.02; 20.10; 1.00; 90.00; 1.00
164.02; 20.10; 1.00; 90.00; 1.00
165.45; 20.20; 1.00; 90.00; 1.00
166.45; 20.20; 1.00; 90.00; 1.00
167.88; 20.20; 1.00; 90.00; 1.00
168.88; 20.20; 1.00; 90.00; 1.00
172.74; 20.30; 1.00; 10.00; 1.00
173.74; 20.30; 1.00; 10.00; 1.00
175.17; 20.40; 1.00; 10.00; 1.00
176.17; 20.40; 1.00; 10.00; 1.00
177.60; 20.30; 1.00; 10.00; 1.00
178.60; 20.30; 1.00; 10.00; 1.00
180.00; 20.40; 1.00; 10.00; 1.00
181.00; 20.40; 1.00; 10.00; 1.00
182.44; 20.50; 1.00; 10.00; 1.00
183.44; 20.50; 1.00; 10.00; 1.00
184.88; 20.50; 1.00; 10.00; 1.00
185.89; 20.50; 1.00; 10.00; 1.00
187.32; 20.60; 1.00; 10.00; 1.00
188.32; 20.60; 1.00; 10.00; 1.00
189.75; 20.70; 1.00; 10.00; 1.00
190.75; 20.70; 1.00; 10.00; 1.00
192.19; 20.80; 1.00; 10.00; 1.00
193.19; 20.80; 1.00; 10.00; 1.00
194.62; 20.90; 1.00; 10.00; 1.00
195.62; 20.90; 1.00; 10.00; 1.00
197.05; 21.20; 1.00; 10.00; 1.00
198.06; 21.20; 1.00; 10.00; 1.00
199.49; 21.40; 1.00; 10.00; 1.00
200.49; 21.40; 1.00; 10.00; 1.00
201.92; 21.60; 1.00; 10.00; 1.00
202.92; 21.60; 1.00; 10.00; 1.00
204.35; 21.80; 1.00; 10.00; 1.00
205.36; 21.80; 1.00; 10.00; 1.00
206.79; 21.90; 1.00; 10.00; 1.00
207.79; 21.90; 1.00; 10.00; 1.00
209.22; 22.00; 1.00; 10.00; 1.00
210.22; 22.00; 1.00; 10.00; 1.00
211.66; 22.20; 1.00; 10.00; 1.00
212.66; 22.20; 1.00; 10.00; 1.00
214.09; 22.30; 1.00; 10.00; 1.00
215.09; 22.30; 1.00; 10.00; 1.00
216.53; 22.30; 1.00; 10.00; 1.00
217.53; 22.30; 1.00; 10.00; 1.00
218.96; 22.30; 1.00; 10.00; 1.00
219.96; 22.30; 1.00; 10.00; 1.00
221.40; 22.30; 1.00; 90.00; 1.00
222.40; 22.30; 1.00; 90.00; 1.00
223.83; 22.30; 1.00; 90.00; 1.00
224.83; 22.30; 1.00; 90.00; 1.00
226.26; 22.20; 1.00; 90.00; 1.00
227.27; 22.20; 1.00; 90.00; 1.00
228.70; 22.10; 1.00; 90.00; 1.00
229.70; 22.10; 1.00; 90.00; 1.00
231.14; 22.00; 1.00; 90.00; 1.00
232.14; 22.00; 1.00; 90.00; 1.00
233.58; 21.80; 1.00; 90.00; 1.00
234.58; 21.80; 1.00; 90.00; 1.00
236.02; 21.80; 1.00; 90.00; 1.00
237.02; 21.80; 1.00; 90.00; 1.00
240.88; 21.70; 1.00; 90.00; 1.00
241.88; 21.70; 1.00; 90.00; 1.00
243.32; 21.60; 1.00; 90.00; 1.00
244.32; 21.60; 1.00; 90.00; 1.00
245.66; 21.60; 1.00; 90.00; 1.00
246.66; 21.60; 1.00; 90.00; 1.00
248.10; 21.50; 1.00; 10.00; 1.00
249.10; 21.50; 1.00; 10.00; 1.00
250.55; 21.50; 1.00; 10.00; 1.00
251.56; 21.50; 1.00; 10.00; 1.00
252.99; 21.40; 1.00; 10.00; 1.00
253.99; 21.40; 1.00; 10.00; 1.00
255.42; 21.40; 1.00; 10.00; 1.00
256.43; 21.40; 1.00; 10.00; 1.00
257.86; 21.50; 1.00; 10.00; 1.00
258.86; 21.50; 1.00; 10.00; 1.00
260.29; 21.60; 1.00; 10.00; 1.00
261.30; 21.60; 1.00; 10.00; 1.00
262.73; 21.70; 1.00; 10.00; 1.00
263.73; 21.70; 1.00; 10.00; 1.00
265.16; 21.90; 1.00; 10.00; 1.00
266.17; 21.90; 1.00; 10.00; 1.00
282.19; 22.20; 1.00; 10.00; 1.00
283.19; 22.20; 1.00; 10.00; 1.00
284.63; 22.20; 1.00; 10.00; 1.00
285.63; 22.20; 1.00; 10.00; 1.00
287.06; 22.20; 1.00; 10.00; 1.00
288.06; 22.20; 1.00; 10.00; 1.00
289.50; 22.30; 1.00; 10.00; 1.00
290.50; 22.30; 1.00; 10.00; 1.00
291.94; 22.30; 1.00; 10.00; 1.00
292.94; 22.30; 1.00; 10.00; 1.00
