# tími; hitastig; fan_on; duty_cycle; heater_on
0.43; 21.10; 1.00; 10.00; 1.00
1.43; 21.10; 1.00; 10.00; 1.00
2.87; 20.50; 1.00; 10.00; 1.00
3.87; 20.50; 1.00; 10.00; 1.00
5.30; 20.40; 1.00; 10.00; 1.00
6.30; 20.40; 1.00; 10.00; 1.00
7.74; 20.40; 1.00; 10.00; 1.00
8.74; 20.40; 1.00; 10.00; 1.00
10.18; 20.20; 1.00; 10.00; 1.00
11.18; 20.20; 1.00; 10.00; 1.00
12.50; 20.10; 1.00; 10.00; 1.00
13.50; 20.10; 1.00; 10.00; 1.00
14.93; 20.00; 1.00; 10.00; 1.00
15.93; 20.00; 1.00; 10.00; 1.00
17.31; 19.90; 1.00; 10.00; 1.00
18.32; 19.90; 1.00; 10.00; 1.00
19.68; 19.80; 1.00; 10.00; 1.00
20.68; 19.80; 1.00; 10.00; 1.00
22.12; 19.70; 1.00; 10.00; 1.00
23.12; 19.70; 1.00; 10.00; 1.00
24.56; 19.70; 1.00; 10.00; 1.00
25.56; 19.70; 1.00; 10.00; 1.00
27.00; 19.60; 1.00; 10.00; 1.00
28.00; 19.60; 1.00; 10.00; 1.00
29.43; 19.50; 1.00; 10.00; 1.00
30.44; 19.50; 1.00; 10.00; 1.00
31.87; 19.60; 1.00; 10.00; 1.00
32.87; 19.60; 1.00; 10.00; 1.00
34.30; 19.80; 1.00; 10.00; 1.00
35.30; 19.80; 1.00; 10.00; 1.00
36.74; 19.80; 1.00; 10.00; 1.00
37.74; 19.80; 1.00; 90.00; 1.00
39.17; 19.80; 1.00; 90.00; 1.00
40.18; 19.80; 1.00; 90.00; 1.00
41.61; 19.80; 1.00; 90.00; 1.00
42.61; 19.80; 1.00; 90.00; 1.00
44.05; 19.80; 1.00; 90.00; 1.00
45.05; 19.80; 1.00; 90.00; 1.00
51.20; 19.90; 1.00; 90.00; 1.00
52.20; 19.90; 1.00; 90.00; 1.00
53.65; 19.90; 1.00; 90.00; 1.00
54.65; 19.90; 1.00; 90.00; 1.00
56.08; 19.80; 1.00; 90.00; 1.00
57.09; 19.80; 1.00; 90.00; 1.00
58.52; 19.80; 1.00; 90.00; 1.00
59.52; 19.80; 1.00; 90.00; 1.00
60.95; 19.80; 1.00; 90.00; 1.00
61.95; 19.80; 1.00; 90.00; 1.00
63.39; 19.80; 1.00; 90.00; 1.00
64.39; 19.80; 1.00; 90.00; 1.00
65.82; 19.90; 1.00; 90.00; 1.00
66.82; 19.90; 1.00; 90.00; 1.00
68.26; 19.90; 1.00; 90.00; 1.00
69.26; 19.90; 1.00; 90.00; 1.00
70.58; 19.90; 1.00; 90.00; 1.00
71.58; 19.90; 1.00; 90.00; 1.00
80.29; 19.90; 1.00; 90.00; 1.00
81.29; 19.90; 1.00; 90.00; 1.00
106.88; 20.10; 1.00; 90.00; 1.00
107.89; 20.10; 1.00; 90.00; 1.00
109.32; 20.10; 1.00; 90.00; 1.00
110.32; 20.10; 1.00; 10.00; 1.00
114.08; 20.10; 1.00; 10.00; 1.00
115.08; 20.10; 1.00; 10.00; 1.00
123.65; 20.50; 1.00; 10.00; 1.00
124.65; 20.50; 1.00; 10.00; 1.00
135.70; 21.30; 1.00; 10.00; 1.00
136.70; 21.30; 1.00; 10.00; 1.00
150.26; 21.70; 1.00; 10.00; 1.00
151.27; 21.70; 1.00; 10.00; 1.00
186.62; 23.30; 1.00; 10.00; 1.00
187.62; 23.30; 1.00; 10.00; 1.00
189.05; 23.20; 1.00; 10.00; 1.00
190.05; 23.20; 1.00; 10.00; 1.00
191.48; 23.20; 1.00; 10.00; 1.00
192.48; 23.20; 1.00; 10.00; 1.00
193.91; 23.30; 1.00; 10.00; 1.00
194.92; 23.30; 1.00; 10.00; 1.00
196.35; 23.30; 1.00; 10.00; 1.00
197.35; 23.30; 1.00; 10.00; 1.00
198.78; 23.20; 1.00; 10.00; 1.00
199.78; 23.20; 1.00; 10.00; 1.00
201.22; 23.20; 1.00; 10.00; 1.00
202.22; 23.20; 1.00; 10.00; 1.00
203.49; 23.20; 1.00; 10.00; 1.00
204.49; 23.20; 1.00; 10.00; 1.00
205.82; 23.40; 1.00; 10.00; 1.00
206.82; 23.40; 1.00; 10.00; 1.00
208.26; 23.50; 1.00; 10.00; 1.00
209.26; 23.50; 1.00; 10.00; 1.00
210.58; 23.60; 1.00; 10.00; 1.00
211.58; 23.60; 1.00; 90.00; 1.00
213.03; 23.50; 1.00; 90.00; 1.00
214.03; 23.50; 1.00; 90.00; 1.00
215.46; 23.40; 1.00; 90.00; 1.00
216.46; 23.40; 1.00; 90.00; 1.00
